TIMESTAMP,SYMBOL,avg_chg_oi_CE,avg_chg_oi_PE,avg_price_CE,avg_price_PE,total_contracts_CE,total_contracts_PE,total_open_int_CE,total_open_int_PE,PCR,PRICE,PRICE_NEXT,price_change,price_pct_change,price_rolling_mean,total_oi,total_volume,oi_diff,chg_oi_total,oi_build_up,direction,volatility
214-03-13,BANKNIFTY,0.0,0.0,1138.6,16395.402709876413,0.0,0.0,0.0,0.0,0.0,8767.001354938206,1628.875,-7138.126354938206,-0.8142038612686536,8767.001354938206,0.0,0.0,0.0,0.0,neutral,0,0
214-03-24,BANKNIFTY,0.0,0.0,1794.85,1462.9,0.0,0.0,0.0,0.0,0.0,1628.875,37.025,-1591.85,-0.9772695879057631,5197.938177469103,0.0,0.0,0.0,0.0,neutral,0,0
214-03-26,BANKNIFTY,0.0,0.0,0.0,74.05,0.0,0.0,0.0,0.0,0.0,37.025,32.95,-4.074999999999996,-0.1100607697501687,3477.6337849794018,0.0,0.0,0.0,0.0,neutral,0,0
214-03-27,BANKNIFTY,0.0,4838598.806344735,0.0,65.9,0.0,72025.0,0.0,41675.0,0.0,32.95,331.525,298.575,9.061456752655538,2616.4628387345515,41675.0,72025.0,-41675.0,4838598.806344735,bullish,1,1
214-04-07,BANKNIFTY,-625.0,0.0,663.05,0.0,200.0,0.0,29925.0,0.0,0.0,331.525,22.4,-309.125,-0.9324334514742478,2159.475270987641,29925.0,200.0,29925.0,-625.0,neutral,0,0
214-04-11,BANKNIFTY,0.0,0.0,0.0,44.8,0.0,0.0,0.0,6650.0,0.0,22.4,-3566.2361450774874,-3588.6361450774875,-160.20697076238784,410.555,6650.0,0.0,-6650.0,0.0,neutral,0,1
214-04-15,BANKNIFTY,0.0,2532119.4989814777,0.0,-7132.472290154975,0.0,1951.0,0.0,123475.0,0.0,-3566.2361450774874,473.9,4040.1361450774875,-1.1328851990505815,-628.4672290154974,123475.0,1951.0,-123475.0,2532119.4989814777,bullish,1,0
214-04-21,BANKNIFTY,0.0,0.0,0.0,947.8,0.0,0.0,0.0,600.0,0.0,473.9,310.0,-163.89999999999998,-0.34585355560244774,-541.0922290154974,600.0,0.0,-600.0,0.0,neutral,0,0
214-04-23,BANKNIFTY,0.0,-100.0,0.0,620.0,0.0,12.0,0.0,200.0,0.0,310.0,305.0,-5.0,-0.016129032258064516,-485.68222901549746,200.0,12.0,-200.0,-100.0,neutral,0,0
214-04-28,BANKNIFTY,0.0,0.0,610.0,0.0,0.0,0.0,75.0,0.0,0.0,305.0,-4516.391442856208,-4821.391442856208,-15.807840796249863,-490.98722901549746,75.0,0.0,75.0,0.0,neutral,0,1
214-04-30,BANKNIFTY,0.0,3500.0,0.0,-9032.782885712417,0.0,187897.458969706,0.0,14575.0,0.0,-4516.391442856208,623.45,5139.841442856208,-1.138041621920558,-1398.7455175867392,14575.0,187897.458969706,-14575.0,3500.0,bullish,1,0
214-05-13,BANKNIFTY,-2450.0,0.0,655.5,591.4,500.0,248808.04835690476,17050.0,0.0,0.0,623.45,356.7,-266.75000000000006,-0.42786109551688195,-560.8082885712416,17050.0,249308.04835690476,17050.0,-2450.0,neutral,0,0
214-05-16,BANKNIFTY,0.0,0.0,713.4,0.0,0.0,0.0,0.0,0.0,0.0,356.7,427.325,70.625,0.197995514437903,-584.2482885712417,0.0,0.0,0.0,0.0,neutral,1,0
214-05-19,BANKNIFTY,0.0,-737.5,0.0,854.65,0.0,202170.55013386568,0.0,-47684168.16859493,0.0,427.325,815.975,388.65000000000003,0.9094951149593402,-560.7832885712417,-47684168.16859493,202170.55013386568,47684168.16859493,-737.5,neutral,1,0
